;; Symbol-to-symbol Distance Function.
* on symbols as defined in pcode: 'pcdsrip1.txt'
;; symbol-symbol distances generated by WOD2
;; using lower codesets:
;;   pcdsrif.txt
* written in external format: 'NIST1'
;; time/date of run: Wed Jan 31 09:30:55 1990
* function is symmetric
* default value = 6
;; (no. of different ppf values = 17)
;; i sym   j sym  fval[i][j]
   uh+1     bcl      12
   uh+1     dcl      12
   uh+1     gcl      12
   uh+1     kcl      13
   uh+1     pcl      13
   uh+1     tcl      13
   uh+1       p      13
   uh+1       b      12
   uh+1       t      13
   uh+1       d      12
   uh+1       k      13
   uh+1       g      12
   uh+1      ch      15
   uh+1      jh      14
   uh+1      dx      11
   uh+1      nx      12
   uh+1       f      12
   uh+1       v      11
   uh+1      th      12
   uh+1      dh      11
   uh+1       s      12
   uh+1       z      11
   uh+1      sh      12
   uh+1      zh      11
   uh+1       q      12
   uh+1      hh      13
   uh+1      hv      12
     uh    uw+1       4
     uh      uw       3
     uh    ay+1       9
     uh      ay       8
     uh      oy       5
     uh    aw+1       8
     uh      aw       7
     uh    er+1       4
     uh      er       3
     uh   axr+1       5
     uh     axr       4
     uh    ah+1       4
     uh      ah       3
     uh    ax+1       5
     uh      ax       4
     uh      ux       5
     uh     axd       5
     uh    ix+1       4
     uh      ix       3
     uh      wh      10
     uh       w       9
     uh       y       9
     uh       r       7
     uh       l      10
     uh      el       9
     uh      em       9
     uh      en       9
     uh     eng       9
     uh       m      10
     uh       n      10
     uh      ng      10
     uh     bcl      11
     uh     dcl      11
     uh     gcl      11
     uh     kcl      12
     uh     pcl      12
     uh     tcl      12
     uh       p      12
     uh       b      11
     uh       t      12
     uh       d      11
     uh       k      12
     uh       g      11
     uh      ch      14
     uh      jh      13
     uh      dx      10
     uh      nx      11
     uh       f      11
     uh       v      10
     uh      th      11
     uh      dh      10
     uh       s      11
     uh       z      10
     uh      sh      11
     uh      zh      10
     uh       q      11
     uh      hh      12
     uh      hv      11
   uw+1      uw       1
   uw+1    ay+1       7
   uw+1      ay       8
   uw+1    oy+1       4
   uw+1      oy       5
   uw+1    aw+1       4
   uw+1      aw       5
   uw+1      er       7
   uw+1   axr+1       7
   uw+1     axr       8
   uw+1      ah       7
   uw+1    ax+1       7
   uw+1      ax       8
   uw+1    ux+1       2
   uw+1      ux       3
   uw+1   axd+1       8
   uw+1     axd       9
   uw+1      ix       7
   uw+1      wh      12
   uw+1       w      11
   uw+1       y      11
   uw+1       r       9
   uw+1       l      12
   uw+1      el      11
   uw+1      em      11
   uw+1      en      11
   uw+1     eng      11
   uw+1       m      12
   uw+1       n      12
   uw+1      ng      12
   uw+1     bcl      13
   uw+1     dcl      13
   uw+1     gcl      13
   uw+1     kcl      14
   uw+1     pcl      14
   uw+1     tcl      14
   uw+1       p      14
   uw+1       b      13
   uw+1       t      14
   uw+1       d      13
   uw+1       k      14
   uw+1       g      13
   uw+1      ch      16
   uw+1      jh      15
   uw+1      dx      12
   uw+1      nx      13
   uw+1       f      13
   uw+1       v      12
   uw+1      th      13
   uw+1      dh      12
   uw+1       s      13
   uw+1       z      12
   uw+1      sh      13
   uw+1      zh      12
   uw+1       q      13
   uw+1      hh      14
   uw+1      hv      13
     uw    ay+1       8
     uw      ay       7
     uw    oy+1       5
     uw      oy       4
     uw    aw+1       5
     uw      aw       4
     uw    er+1       7
     uw   axr+1       8
     uw     axr       7
     uw    ah+1       7
     uw    ax+1       8
     uw      ax       7
     uw    ux+1       3
     uw      ux       2
     uw   axd+1       9
     uw     axd       8
     uw    ix+1       7
     uw      wh      11
     uw       w      10
     uw       y      10
     uw       r       8
     uw       l      11
     uw      el      10
     uw      em      10
     uw      en      10
     uw     eng      10
     uw       m      11
     uw       n      11
     uw      ng      11
     uw     bcl      12
     uw     dcl      12
     uw     gcl      12
     uw     kcl      13
     uw     pcl      13
     uw     tcl      13
     uw       p      13
     uw       b      12
     uw       t      13
     uw       d      12
     uw       k      13
     uw       g      12
     uw      ch      15
     uw      jh      14
     uw      dx      11
     uw      nx      12
     uw       f      12
     uw       v      11
     uw      th      12
     uw      dh      11
     uw       s      12
     uw       z      11
     uw      sh      12
     uw      zh      11
     uw       q      12
     uw      hh      13
     uw      hv      12
   ay+1      ay       1
